task_title,team_name,assignee,labels,related_issue_id
Panda 待辦,Panda,@moon-jam,"Status::Inbox,Category::Task::Panda",
Ricky 待辦,Ricky,@smitug01,"Status::Inbox,Category::Task::Ricky",
Denny 待辦,Denny,@denny0223,"Status::Inbox,Category::Task::Denny",
阿公 待辦,阿公,@agong961021,"Status::Inbox,Category::Task::阿公",
yyc 待辦,yyc,@yyccccccccc,"Status::Inbox,Category::Task::yyc",
XC 待辦,XC,@Octoberlobster,"Status::Inbox,Category::Task::XC",
滷味 待辦,滷味,@ainini0408,"Status::Inbox,Category::Task::滷味",
Jarek 待辦,Jarek,@Xiawoohao,"Status::Inbox,Category::Task::Jarek",
海鷗 待辦,海鷗,@kyle941010,"Status::Inbox,Category::Task::海鷗",
橘子 待辦,橘子,@tiffanylaii,"Status::Inbox,Category::Task::橘子",
阿六 待辦,阿六,@hyslchs,"Status::Inbox,Category::Task::阿六",
Nikka 待辦,Nikka,@nikkalin1008,"Status::Inbox,Category::Task::Nikka",
c7 待辦,c7,@cnfzon,"Status::Inbox,Category::Task::c7",
Ya 待辦,Ya,@yuyaoooooo,"Status::Inbox,Category::Task::Ya",
康喔 待辦,康喔,@kangjwme,"Status::Inbox,Category::Task::康喔",
雪兒 待辦,雪兒,@xinyuki1207,"Status::Inbox,Category::Task::雪兒",
