task_title,team_name,組長,assignee,labels,related_issue_id
總召組待辦,總召,windlessme,windlessme,"Status::Inbox,組別::總召組",
設計組待辦,設計,,,"Status::Inbox,組別::設計組",
行政組待辦,行政,yuyaoooooo,yuyaoooooo,"Status::Inbox,組別::行政組",
開發組待辦,開發,yorukot,yorukot,"Status::Inbox,組別::開發組",
紀錄組待辦,紀錄,kangjwme,kangjwme,"Status::Inbox,組別::紀錄組",
庶務組待辦,庶務,agong961021,agong961021,"Status::Inbox,組別::庶務組",
隊輔組待辦,隊輔,qiqii77,qiqii77,"Status::Inbox,組別::隊輔組",
課活組待辦,課活,Nat1an,Nat1an,"Status::Inbox,組別::課活組",
財務組待辦,財務,Lindyy,Lindyy,"Status::Inbox,組別::財務組",
編輯組待辦,編輯,mina.mj.chen,mina.mj.chen,"Status::Inbox,組別::編輯組",
